epoch (ms),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category
2019-01-14 14:01:51.900,-0.067,-1.358,-0.062,17.896,-0.3965000000000001,-14.299,C,row,medium
2019-01-14 14:01:52.000,-0.0075,-1.4805000000000001,-0.0555,38.882,-15.203333333333333,-23.618,C,row,medium
2019-01-14 14:01:52.100,0.068,-1.424,0.041,34.817,-23.384,-39.8475,C,row,medium
2019-01-14 14:01:52.200,0.14,-1.298,0.089,43.17066666666667,-24.410666666666668,-29.41033333333333,C,row,medium
2019-01-14 14:01:52.300,0.215,-1.027,0.233,30.1525,-27.3475,6.981999999999999,C,row,medium
2019-01-14 14:01:52.400,0.08900000000000001,-0.28700000000000003,0.13,14.776333333333334,-9.166666666666666,6.87,C,row,medium
2019-01-14 14:01:52.500,0.1,-0.19,0.18,5.4879999999999995,0.06099999999999994,-9.116,C,row,medium
2019-01-14 14:01:52.600,0.126,-0.63,0.234,-24.431,24.105666666666668,9.939,C,row,medium
2019-01-14 14:01:52.700,0.184,-0.968,0.249,-44.085499999999996,20.0,30.1525,C,row,medium
2019-01-14 14:01:52.800,0.1045,-1.139,0.164,-45.183,8.475666666666667,39.532333333333334,C,row,medium
2019-01-14 14:01:52.900,-0.027,-1.159,0.045,-43.445,9.8175,32.4695,C,row,medium
2019-01-14 14:01:53.000,-0.03,-1.166,-0.031,-13.475666666666667,1.585333333333333,18.902333333333335,C,row,medium
2019-01-14 14:01:53.100,-0.114,-1.169,-0.052,-4.0545,11.616,2.8355,C,row,medium
2019-01-14 14:01:53.200,-0.076,-1.323,-0.038,14.289,3.638333333333333,-3.943333333333333,C,row,medium
2019-01-14 14:01:53.300,-0.102,-1.474,-0.082,36.768,-11.616,-22.3475,C,row,medium
2019-01-14 14:01:53.400,-0.021,-1.43,0.02,51.38233333333333,-12.967666666666666,-38.699333333333335,C,row,medium
2019-01-14 14:01:53.500,0.05,-1.325,0.082,56.585499999999996,-11.1285,-32.926500000000004,C,row,medium
2019-01-14 14:01:53.600,0.139,-1.069,0.253,33.12966666666667,-8.923,-19.979333333333333,C,row,medium
2019-01-14 14:01:53.700,0.097,-0.593,0.169,19.238,-23.3535,16.0975,C,row,medium
2019-01-14 14:01:53.800,0.022,-0.074,0.16,8.455,-9.695333333333334,-9.166666666666666,C,row,medium
2019-01-14 14:01:53.900,0.048,-0.159,0.197,-11.5245,20.701,-8.3535,C,row,medium
2019-01-14 14:01:54.000,0.14350000000000002,-0.7605,0.27249999999999996,-34.004333333333335,16.707333333333334,17.398333333333333,C,row,medium
2019-01-14 14:01:54.100,0.137,-1.044,0.22,-58.079,15.6705,35.732,C,row,medium
2019-01-14 14:01:54.200,0.086,-1.191,0.104,-55.345666666666666,17.683,25.10166666666667,C,row,medium
2019-01-14 14:01:54.300,-0.049,-1.247,0.049,-46.098,10.061,8.811,C,row,medium
2019-01-14 14:01:54.400,-0.019,-1.0924999999999998,-0.017499999999999998,-18.028333333333332,-20.203333333333333,20.691333333333333,C,row,medium
2019-01-14 14:01:54.500,-0.05,-0.897,-0.073,2.3169999999999997,-5.5489999999999995,5.2745,C,row,medium
2019-01-14 14:01:54.600,0.011,-0.963,-0.019,-7.540666666666667,2.906333333333334,5.772333333333333,C,row,medium
2019-01-14 14:01:54.700,-0.064,-1.078,0.036,-5.396,7.0125,4.634,C,row,medium
2019-01-14 14:01:54.800,-0.059,-1.1335,-0.1445,-1.4226666666666663,7.256333333333333,-2.926666666666667,C,row,medium
2019-01-14 14:01:54.900,-0.071,-1.147,-0.099,-0.42700000000000005,-6.067,3.8415,C,row,medium
2019-01-14 14:01:55.000,-0.048,-1.173,-0.108,-7.5,-0.8533333333333329,1.0366666666666668,C,row,medium
